english,santhali
"He is feeding the cat. ","ᱩᱱᱤ ᱯᱩᱥᱤ ᱡᱚᱢ ᱚᱪᱚ ᱮᱫᱮᱭᱟᱭ ᱾ "
"We are singing a song. ","ᱟᱞᱮ ᱢᱤᱫ ᱥᱮᱨᱮᱧ ᱞᱮ ᱥᱮᱨᱮᱧ ᱮᱫᱟ᱾ "
"I am washing the dishes. ","ᱤᱧ ᱫᱚ ᱛᱷᱟᱹᱨᱤ ᱠᱚ ᱟᱹᱨᱩᱵ ᱮᱫᱟᱹᱧ ᱾ "
"The child is playing. ","ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟ ᱾ "
"She is making coffee. ","ᱩᱱᱤ ᱠᱚᱯᱷᱤ ᱵᱮᱱᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"He is chopping vegetables. ","ᱩᱱᱤ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱠᱚ ᱜᱮᱫ ᱠᱟᱱᱟᱭ ᱾ "
"I like to play basketball. ","ᱤᱧ ᱵᱟᱥᱠᱮᱴᱵᱚᱞ ᱠᱷᱮᱞ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"They are reading magazines. ","ᱩᱱᱠᱩ ᱯᱟᱛᱷᱟᱢ ᱠᱚ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"He is writing a poem. ","ᱩᱱᱤ ᱢᱤᱫ ᱚᱱᱚᱲᱦᱮ ᱚᱞ ᱠᱟᱱᱟᱭ ᱾ "
"I am learning Spanish. ","ᱤᱧ ᱥᱯᱮᱱᱤᱥ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"She is helping her sister. ","ᱩᱱᱤ ᱟᱡ ᱢᱤᱥᱨᱟ ᱜᱚᱲᱚ ᱟᱭ ᱠᱟᱱᱟᱭ ᱾ "
"The river is calm. ","ᱜᱟᱰᱟ ᱫᱚ ᱛᱷᱤᱨ ᱜᱮᱭᱟ ᱾ "
"We are climbing the hill. ","ᱟᱞᱮ ᱵᱩᱨᱩ ᱞᱮ ᱫᱮᱡᱚᱜ ᱠᱟᱱᱟ᱾ "
"He is riding a horse. ","ᱩᱱᱤ ᱫᱚ ᱥᱟᱫᱚᱢ ᱠᱟᱢᱥᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"I like to drink tea. ","ᱤᱧ ᱪᱟ ᱧᱩᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"She is wearing boots. ","ᱩᱱᱤ ᱵᱩᱴ ᱠᱚ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫᱟᱭ ᱾ "
"They are talking softly. ","ᱩᱱᱠᱩ ᱞᱟᱵᱤᱫ ᱛᱮ ᱠᱚ ᱨᱚᱯᱚᱲ ᱠᱟᱱᱟ᱾ "
"The bird is flying high. ","ᱪᱮᱬᱮ ᱩᱥᱩᱞ ᱩᱰᱟᱹᱣ ᱠᱟᱱᱟᱭ ᱾ "
"I am cooking pasta. ","ᱤᱧ ᱯᱟᱥᱛᱟ ᱤᱥᱤᱱ ᱮᱫᱟᱹᱧ ᱾ "
"He is washing the car. ","ᱩᱱᱤ ᱠᱟᱨ ᱮ ᱟᱹᱵᱩᱠ ᱮᱫᱟ᱾ "
"She is reading a newspaper. ","ᱩᱱᱤ ᱢᱤᱫ ᱠᱷᱚᱵᱚᱨ ᱠᱟᱜᱚᱡᱽ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are sitting on the bench. ","ᱟᱞᱮ ᱵᱮᱸᱪ ᱨᱮ ᱞᱮ ᱫᱩᱲᱩᱵ ᱟᱠᱟᱱᱟ ᱾ "
"I am playing with my cat. ","ᱤᱧ ᱤᱧᱤᱡ ᱯᱩᱥᱤ ᱥᱟᱶ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"The sky is clear. ","ᱥᱮᱨᱢᱟ ᱫᱚ ᱥᱟᱯᱷᱟ ᱜᱮᱭᱟ ᱾ "
"He is opening the window. ","ᱩᱱᱤ ᱡᱷᱚᱨᱠᱟ ᱡᱷᱤᱡᱽ ᱮᱫᱟᱭ ᱾ "
"She is closing the door. ","ᱩᱱᱤ ᱫᱩᱣᱟᱹᱨ ᱮ ᱵᱚᱱᱫᱚ ᱮᱫᱟ᱾ "
"I like to draw animals. ","ᱤᱧ ᱡᱤᱣ ᱠᱚ ᱟᱸᱠᱟᱣ ᱠᱩᱥᱤᱭᱟᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"They are running in the field. ","ᱩᱱᱠᱩ ᱫᱚ ᱯᱷᱤᱞᱰ ᱨᱮᱠᱚ ᱫᱟᱹᱲ ᱠᱟᱱᱟ ᱾ "
"He is helping his mother. ","ᱩᱱᱤ ᱟᱡ ᱟᱭᱳ ᱜᱚᱲᱚ ᱟᱫᱮᱭᱟᱭ ᱾ "
"I am walking to the park. ","ᱤᱧ ᱯᱟᱨᱠ ᱥᱮᱫ ᱤᱧ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"She is smiling. ","ᱩᱱᱤ ᱞᱟᱱᱫᱟ ᱠᱟᱱᱟᱭ᱾ "
"The baby is laughing. ","ᱜᱤᱫᱽᱨᱟᱹ ᱞᱟᱱᱫᱟᱭ ᱠᱟᱱᱟ ᱾ "
"We are eating lunch. ","ᱟᱞᱮ ᱢᱟᱧᱡᱟᱱ ᱞᱮ ᱡᱚᱢ ᱮᱫᱟ᱾ "
"I like to eat grapes. ","ᱤᱧ ᱟᱹᱝᱜᱩᱨ ᱡᱚᱢ ᱠᱩᱥᱤᱭᱟᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"He is watching a movie. ","ᱩᱱᱤ ᱢᱤᱫ ᱯᱷᱤᱞᱤᱢ ᱧᱮᱞ ᱠᱟᱱᱟᱭ ᱾ "
"She is listening to music. ","ᱩᱱᱤ ᱥᱮᱨᱮᱧ ᱟᱸᱡᱚᱢ ᱠᱟᱱᱟᱭ ᱾ "
"I am feeling sleepy. ","ᱤᱧ ᱡᱟᱹᱯᱤᱫ ᱟᱹᱭᱠᱟᱹᱣ ᱮᱫᱟᱹᱧ ᱾ "
"They are cleaning the garden. ","ᱩᱱᱠᱩ ᱵᱟᱜᱟᱱ ᱠᱚ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"He is buying fruits. ","ᱩᱱᱤ ᱡᱚ ᱠᱤᱨᱤᱧ ᱠᱟᱱᱟᱭ ᱾ "
"She is selling vegetables. ","ᱩᱱᱤ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱠᱚ ᱟᱠᱨᱤᱧ ᱠᱟᱱᱟᱭ ᱾ "
"I like to read newspapers. ","ᱤᱧ ᱠᱷᱚᱵᱚᱨ ᱠᱟᱜᱚᱡᱽ ᱯᱟᱲᱦᱟᱣ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"The dog is sleeping in the yard. ","ᱥᱮᱛᱟ ᱫᱚ ᱨᱟᱪᱟ ᱨᱮ ᱡᱟᱹᱯᱤᱫ ᱠᱟᱱᱟᱭ ᱾ "
"We are going to the market. ","ᱟᱞᱮ ᱵᱟᱡᱟᱨ ᱞᱮ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟ᱾ "
"He is learning English. ","ᱩᱱᱤ ᱤᱝᱨᱟᱡᱤ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱭ ᱾"
"I am drinking water. ","ᱤᱧ ᱫᱟᱜ ᱧᱩᱭ ᱠᱟᱱᱟᱹᱧ ᱾ "
"She is eating rice. ","ᱩᱱᱤ ᱫᱟᱠᱟ ᱡᱚᱢ ᱠᱟᱱᱟᱭ ᱾ "
"He is reading a book. ","ᱩᱱᱤ ᱢᱤᱫ ᱯᱚᱛᱚᱵ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"They are writing letters. ","ᱩᱱᱠᱩ ᱪᱤᱴᱷᱤ ᱠᱚ ᱚᱞ ᱮᱫᱟ᱾ "
"We are playing football. ","ᱟᱞᱮ ᱯᱷᱩᱴᱵᱚᱞ ᱞᱮ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟ᱾ "
"I like to eat apples. ","ᱤᱧ ᱟᱯᱩᱞ ᱡᱚᱢ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"She is drawing pictures. ","ᱩᱱᱤ ᱪᱤᱛᱟᱹᱨ ᱮ ᱟᱸᱠᱟᱣ ᱮᱫᱟ᱾ "
"He is washing clothes. ","ᱩᱱᱤ ᱠᱤᱪᱨᱤᱡ ᱮ ᱟᱹᱵᱩᱠ ᱮᱫᱟ᱾ "
"The cat is climbing the tree. ","ᱯᱩᱥᱤ ᱫᱚ ᱫᱟᱨᱮ ᱨᱮ ᱫᱮᱡᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"The bird is singing. ","ᱪᱮᱬᱮ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟᱭ ᱾ "
"I am learning to write. ","ᱤᱧ ᱚᱞ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"They are studying together. ","ᱩᱱᱠᱩ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱠᱚ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ ᱾ "
"She is cooking soup. ","ᱩᱱᱤ ᱥᱩᱯ ᱮ ᱤᱥᱤᱱ ᱮᱫᱟ᱾ "
"He is riding a bicycle. ","ᱩᱱᱤ ᱥᱟᱭᱠᱮᱞ ᱪᱟᱹᱞᱩ ᱠᱟᱱᱟᱭ ᱾ "
"I like to play cricket. ","ᱤᱧ ᱠᱨᱤᱠᱮᱴ ᱠᱷᱮᱞ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"We are walking to school. ","ᱟᱞᱮ ᱟᱥᱲᱟ ᱞᱮ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"They are singing songs. ","ᱩᱱᱠᱩ ᱥᱮᱨᱮᱧ ᱠᱚ ᱥᱮᱨᱮᱧ ᱮᱫᱟ᱾ "
"He is cleaning his room. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱠᱟᱸᱫᱷᱟ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱭ ᱾ "
"I am writing a story. ","ᱤᱧ ᱢᱤᱫ ᱠᱟᱹᱦᱱᱤ ᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"She is drinking juice. ","ᱩᱱᱤ ᱡᱩᱥ ᱧᱩᱭ ᱠᱟᱱᱟᱭ ᱾ "
"We are eating breakfast. ","ᱟᱞᱮ ᱵᱟᱹᱥᱠᱟᱹᱜ ᱡᱚᱢᱟᱜ ᱞᱮ ᱡᱚᱢ ᱮᱫᱟ᱾ "
"He is drawing a painting. ","ᱩᱱᱤ ᱢᱤᱫ ᱯᱮᱱᱴᱤᱝ ᱮ ᱟᱸᱠᱟᱣ ᱮᱫᱟ᱾ "
"I am reading a magazine. ","ᱤᱧ ᱢᱤᱫ ᱯᱟᱛᱷᱟᱢ ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"She is planting a flower. ","ᱩᱱᱤ ᱢᱤᱫ ᱵᱟᱦᱟ ᱨᱚᱦᱚᱭ ᱮᱫᱟᱭ ᱾ "
"The sky is bright. ","ᱥᱮᱨᱢᱟ ᱫᱚ ᱥᱟᱯᱷᱟ ᱜᱮᱭᱟ ᱾ "
"They are running in the park. ","ᱩᱱᱠᱩ ᱯᱟᱨᱠ ᱨᱮᱠᱚ ᱫᱟᱹᱲ ᱠᱟᱱᱟ ᱾ "
"I like to play chess. ","ᱤᱧ ᱥᱚᱛᱨᱚᱡᱽ ᱠᱷᱮᱞ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"He is cutting fruits. ","ᱩᱱᱤ ᱡᱚ ᱠᱚ ᱜᱮᱫ ᱠᱟᱱᱟᱭ ᱾ "
"She is combing her hair. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱩᱵ ᱨᱟᱠᱟᱵ ᱮᱫᱟᱭ ᱾ "
"We are going to the library. ","ᱟᱞᱮ ᱞᱟᱭᱵᱨᱮᱨᱤ ᱞᱮ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟ᱾ "
"I am walking with my dog. ","ᱤᱧ ᱤᱧ ᱨᱮᱱ ᱥᱮᱛᱟ ᱥᱟᱶ ᱛᱟᱲᱟᱢ ᱠᱟᱱᱟᱹᱧ ᱾ "
"They are swimming in the river. ","ᱩᱱᱠᱩ ᱜᱟᱰᱟ ᱨᱮᱠᱚ ᱯᱟᱭᱨᱟᱜ ᱠᱟᱱᱟ ᱾ "
"He is learning French. ","ᱩᱱᱤ ᱯᱷᱨᱮᱸᱪ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"She is helping her mother. ","ᱩᱱᱤ ᱟᱡ ᱟᱭᱳ ᱜᱚᱲᱚ ᱮᱫᱮᱭᱟᱭ ᱾ "
"I like to eat oranges. ","ᱤᱧ ᱞᱮᱢᱵᱚ ᱡᱚᱢ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"We are playing cards. ","ᱟᱞᱮ ᱠᱟᱨᱰ ᱞᱮ ᱠᱷᱮᱞ ᱠᱟᱱᱟ ᱾ "
"He is watching a football match. ","ᱩᱱᱤ ᱯᱷᱩᱴᱵᱚᱞ ᱢᱮᱪ ᱧᱮᱞ ᱠᱟᱱᱟᱭ ᱾ "
"She is singing a song. ","ᱩᱱᱤ ᱢᱤᱫ ᱥᱮᱨᱮᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟᱭ ᱾ "
"I am feeling happy. ","ᱤᱧ ᱠᱩᱥᱤ ᱟᱹᱭᱠᱟᱹᱣ ᱮᱫᱟᱹᱧ ᱾ "
"They are drawing pictures. ","ᱩᱱᱠᱩ ᱪᱤᱛᱟᱹᱨ ᱠᱚ ᱟᱸᱠᱟᱣ ᱮᱫᱟ᱾ "
"He is writing a diary. ","ᱩᱱᱤ ᱢᱤᱫ ᱰᱟᱭᱨᱤ ᱚᱞ ᱠᱟᱱᱟᱭ ᱾ "
"I am reading a newspaper. ","ᱤᱧ ᱢᱤᱫ ᱠᱷᱚᱵᱚᱨ ᱠᱟᱜᱚᱡᱽ ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"She is watering the plants. ","ᱩᱱᱤ ᱫᱚ ᱫᱟᱨᱮ ᱠᱚ ᱫᱟᱜ ᱮ ᱮᱢᱟ ᱠᱚᱣᱟ ᱾ "
"We are climbing the mountain. ","ᱟᱞᱮ ᱵᱩᱨᱩ ᱞᱮ ᱫᱮᱡᱚᱜ ᱠᱟᱱᱟ᱾ "
"He is fixing the bike. ","ᱩᱱᱤ ᱵᱟᱭᱤᱠ ᱴᱷᱤᱠ ᱮᱫᱟᱭ ᱾ "
"I am learning Santali words. ","ᱤᱧ ᱥᱟᱱᱛᱟᱞᱤ ᱟᱹᱲᱟᱹ ᱠᱚ ᱪᱮᱫ ᱮᱫᱟᱹᱧ| "
"She is cleaning the house. ","ᱩᱱᱤ ᱚᱲᱟᱜ ᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"They are playing outside. ","ᱩᱱᱠᱩ ᱵᱟᱦᱨᱮ ᱠᱚ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟ ᱾ "
"I like to drink milk. ","ᱤᱧ ᱛᱚᱣᱟ ᱧᱩᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"He is feeding the dog. ","ᱩᱱᱤ ᱥᱮᱛᱟ ᱠᱚ ᱡᱚᱢ ᱚᱪᱚ ᱮᱫ ᱠᱚᱣᱟᱭ ᱾ "
"She is riding a horse. ","ᱩᱱᱤ ᱫᱚ ᱥᱟᱫᱚᱢ ᱠᱟᱢᱥᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are walking to the shop. ","ᱟᱞᱮ ᱫᱚᱠᱟᱱ ᱥᱮᱫ ᱞᱮ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"I am writing a letter. ","ᱤᱧ ᱢᱤᱫ ᱪᱤᱴᱷᱤ ᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"They are reading books. ","ᱩᱱᱠᱩ ᱯᱚᱛᱚᱵ ᱠᱚ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"He is helping his father. ","ᱩᱱᱤ ᱟᱡ ᱵᱟᱵᱟ ᱜᱚᱲᱚ ᱟᱫᱮᱭᱟᱭ ᱾ "
"She is listening to the radio. ","ᱩᱱᱤ ᱨᱮᱰᱤᱭᱳ ᱟᱸᱡᱚᱢ ᱠᱟᱱᱟᱭ ᱾ "
"I am drawing a house. ","ᱤᱧ ᱢᱤᱫ ᱚᱲᱟᱜ ᱪᱤᱛᱟᱹᱨ ᱮᱫᱟᱹᱧ ᱾ "
"The child is singing a song. ","ᱜᱤᱫᱽᱨᱟᱹ ᱫᱚ ᱥᱮᱨᱮᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟᱭ ᱾ "
"We are playing basketball. ","ᱟᱞᱮ ᱵᱟᱥᱠᱮᱴᱵᱚᱞ ᱞᱮ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟ᱾ "
"He is cutting the paper. ","ᱩᱱᱤ ᱠᱟᱜᱚᱡᱽ ᱜᱮᱫ ᱠᱟᱱᱟᱭ ᱾ "
"She is sewing a dress. ","ᱩᱱᱤ ᱢᱤᱫ ᱰᱨᱮᱥ ᱥᱤᱞ ᱠᱟᱱᱟᱭ ᱾ "
